[14/10/2017 20:19:11] /goto boizao
[14/10/2017 20:29:35] /a 1
[14/10/2017 20:29:35] /a 1
[14/10/2017 20:29:36] /a 1
[14/10/2017 20:29:36] /a 1
[14/10/2017 20:29:37] /up
[14/10/2017 20:29:39] /a 1
[14/10/2017 20:29:41] /a 1
[14/10/2017 20:29:41] /a 1
[14/10/2017 20:29:42] /a 1
[14/10/2017 20:29:42] /a 1
[14/10/2017 20:29:44] /up
[14/10/2017 20:29:47] /a 1
[14/10/2017 20:30:56] /c ksos
[14/10/2017 20:31:43] /reload movements
[14/10/2017 20:31:59] /c celular
[14/10/2017 20:32:21] /r
